time	FADEC_LA_Corrected_N2_Speed
09:11:35:404	0.0
09:11:35:466	0.0
09:11:35:529	0.0
09:11:35:591	0.0
09:11:35:654	0.0
09:11:35:716	0.0
09:11:35:779	0.0
09:11:35:841	0.0
09:11:35:904	0.0
09:11:35:966	0.0
09:11:36:029	0.0
09:11:36:091	0.0
09:11:36:154	0.0
09:11:36:216	0.0
09:11:36:279	0.0
09:11:36:341	0.0
09:11:36:404	0.0
09:11:36:466	0.0
09:11:36:529	0.0
09:11:36:591	0.0
09:11:36:654	0.0
09:11:36:716	0.0
09:11:36:779	0.0
09:11:36:841	0.0
09:11:36:904	0.0
09:11:36:966	0.0
09:11:37:029	0.0
09:11:37:091	0.0
09:11:37:154	0.0
09:11:37:216	0.0
09:11:37:279	0.0
09:11:37:341	0.0
09:11:37:404	0.0
09:11:37:466	0.0
09:11:37:529	0.0
09:11:37:591	0.0
09:11:37:654	0.0
09:11:37:716	0.0
09:11:37:779	0.0
09:11:37:841	0.0
09:11:37:904	0.0
09:11:37:966	0.0
09:11:38:029	0.0
09:11:38:091	0.0
09:11:38:154	0.0
09:11:38:216	0.0
09:11:38:279	0.0
09:11:38:341	0.0
09:11:38:404	0.0
09:11:38:466	0.0
09:11:38:529	0.0
09:11:38:591	0.0
09:11:38:654	0.0
09:11:38:716	0.0
09:11:38:779	0.0
09:11:38:841	0.0
09:11:38:904	0.0
09:11:38:966	0.0
09:11:39:029	0.0
09:11:39:091	0.0
09:11:39:154	0.0
09:11:39:216	0.0
09:11:39:279	0.0
09:11:39:341	0.0
09:11:39:404	0.0
09:11:39:466	0.0
09:11:39:529	0.0
09:11:39:591	0.0
09:11:39:654	0.0
09:11:39:716	0.0
09:11:39:779	0.0
09:11:39:841	0.0
09:11:39:904	0.0
09:11:39:966	0.0
09:11:40:029	0.0
09:11:40:091	0.0
09:11:40:154	0.0
09:11:40:216	0.0
09:11:40:279	0.0
09:11:40:341	0.0
09:11:40:404	0.0
09:11:40:466	0.0
09:11:40:529	0.0
09:11:40:591	0.0
09:11:40:654	0.0
09:11:40:716	0.0
09:11:40:779	0.0
09:11:40:841	0.0
09:11:40:904	0.0
09:11:40:966	0.0
09:11:41:029	0.0
09:11:41:091	0.0
